id	chrom	start	end
mrk_10941	chr14	680048	680048
mrk_10955	chr14	694085	694085
mrk_10968	chr14	703357	703444
mrk_10981	chr14	710777	710899
mrk_10995	chr14	725119	725119
mrk_11008	chr14	748652	748657
mrk_11021	chr15	24626	24626
mrk_11035	chr15	32081	32147
mrk_11048	chr15	40039	40089
mrk_11061	chr15	43486	43525
mrk_11075	chr15	44329	44701
mrk_11088	chr15	51301	51451
mrk_11101	chr15	55740	55740
mrk_11115	chr15	61928	61946
mrk_11128	chr15	67957	68014
mrk_11141	chr15	76185	76185
mrk_11155	chr15	79811	80196
mrk_11168	chr15	92084	92657
mrk_11181	chr15	97174	97832
mrk_11195	chr15	107871	107885
mrk_11208	chr15	113259	114719
mrk_11221	chr15	131412	131466
mrk_11235	chr15	138410	138410
mrk_11248	chr15	142865	142954
mrk_11261	chr15	144877	145250
mrk_11275	chr15	148941	148956
mrk_11288	chr15	155320	155320
mrk_11301	chr15	159127	159288
mrk_11315	chr15	170477	171567
mrk_11328	chr15	178566	178575
mrk_11341	chr15	189515	189984
mrk_11355	chr15	202206	202415
mrk_11368	chr15	208842	208842
mrk_11381	chr15	216464	216568
mrk_11395	chr15	223766	226324
mrk_11408	chr15	239642	240616
mrk_11421	chr15	250216	250216
mrk_11434	chr15	259426	259426
mrk_11448	chr15	271060	271060
mrk_11461	chr15	279673	279673
mrk_11474	chr15	286905	287079
mrk_11488	chr15	291934	291934
mrk_11501	chr15	300104	300116
mrk_11514	chr15	315983	315983
mrk_11528	chr15	341588	344404
mrk_11541	chr15	349140	349403
mrk_11554	chr15	373056	373067
mrk_11568	chr15	378105	378105
mrk_11581	chr15	384648	385029
mrk_11594	chr15	390419	390439
mrk_11608	chr15	408894	409166
mrk_11621	chr15	417439	417439
mrk_11634	chr15	421840	421840
mrk_11648	chr15	425142	425849
mrk_11661	chr15	433569	433569
mrk_11674	chr15	443437	443437
mrk_11688	chr15	450006	450006
mrk_11701	chr15	453467	455965
mrk_11714	chr15	463611	463708
mrk_11728	chr15	470677	470860
mrk_11741	chr15	477401	479397
mrk_11754	chr15	487296	487296
mrk_11768	chr15	491049	491369
mrk_11781	chr15	496315	496472
mrk_11794	chr15	506495	507019
mrk_11808	chr15	514337	514337
mrk_11821	chr15	516883	517103
mrk_11834	chr15	518193	518193
mrk_11848	chr15	523078	523650
mrk_11861	chr15	546142	546298
mrk_11874	chr15	561337	561337
mrk_11888	chr15	605752	606560
mrk_11901	chr15	634171	634516
mrk_11914	chr15	657022	657022
mrk_11928	chr15	671951	672422
mrk_11941	chr15	682463	683112
mrk_11954	chr15	692864	693906
mrk_11968	chr15	722824	723034
mrk_11981	chr15	737796	738104
mrk_11994	chr15	746481	746499
mrk_12008	chr15	755943	756951
mrk_12021	chr15	768604	768604
mrk_12034	chr15	793524	796393
mrk_12047	chr15	814200	814200
mrk_12061	chr15	830861	831003
mrk_12074	chr15	845652	845858
mrk_12087	chr15	853215	853339
mrk_12101	chr15	878635	878635
mrk_12114	chr15	891999	892063
mrk_12127	chr15	901354	901354
mrk_12141	chr15	920416	920416
mrk_12154	chr15	946463	946463
mrk_12167	chr15	968262	968360
mrk_12181	chr15	979707	979707
mrk_12194	chr15	994966	998984
mrk_12207	chr15	1023548	1023548
mrk_12221	chr15	1054104	1054976
mrk_12234	chr16	26469	26469
mrk_12247	chr16	29388	29423
mrk_12261	chr16	35436	35444
mrk_12274	chr16	38552	38552
mrk_12287	chr16	44730	44730
mrk_12301	chr16	49689	49689
mrk_12314	chr16	65336	65346
mrk_12327	chr16	73106	73241
mrk_12341	chr16	77861	77941
mrk_12354	chr16	83332	83346
mrk_12367	chr16	89751	89751
mrk_12381	chr16	100195	100346
mrk_12394	chr16	107670	107919
mrk_12407	chr16	119500	120454
mrk_12421	chr16	134030	134204
mrk_12434	chr16	145191	145191
mrk_12447	chr16	166563	166594
mrk_12461	chr16	200991	201216
mrk_12474	chr16	218490	218614
mrk_12487	chr16	230088	230208
mrk_12501	chr16	246216	246216
mrk_12514	chr16	264019	264019
mrk_12527	chr16	283090	283406
mrk_12541	chr16	302876	302876
mrk_12554	chr16	316618	318016
mrk_12567	chr16	327237	327790
mrk_12581	chr16	336853	336909
mrk_12594	chr16	349948	350258
mrk_12607	chr16	362452	362521
mrk_12621	chr16	372860	373025
mrk_12634	chr16	382962	383491
mrk_12647	chr16	396536	396536
mrk_12661	chr16	421812	421812
mrk_12674	chr16	430699	430699
mrk_12687	chr16	445267	445268
mrk_12700	chr16	454922	454922
mrk_12714	chr16	462488	462488
mrk_12727	chr16	473384	476081
mrk_12740	chr16	498173	498574
mrk_12754	chr16	515834	515834
mrk_12767	chr16	519524	519558
mrk_12780	chr16	531293	532000
mrk_12794	chr16	541949	541949
mrk_12807	chr16	545731	545731
mrk_12820	chr16	549302	549302
mrk_12834	chr16	556239	557566
mrk_12847	chr16	566817	567324
mrk_12860	chr16	574544	575362
mrk_12874	chr16	581263	581263
mrk_12887	chr16	583412	583498
mrk_12900	chr16	620256	620256
mrk_12914	chr16	634597	636741
mrk_12927	chr16	649331	649546
mrk_12940	chr16	655520	655695
mrk_12954	chr16	663002	663002
mrk_12967	chr16	670791	673182
mrk_12980	chr16	679993	679993
mrk_12994	chr16	685928	685928
mrk_13007	chr16	692211	692211
mrk_13020	chr16	697755	698079
mrk_13034	chr16	721063	721075
mrk_13047	chr16	741122	741122
mrk_13060	chr16	750183	750729
mrk_13074	chr16	794438	795494
mrk_13087	chr16	827327	827327
mrk_13100	chr16	831116	831116
mrk_13114	chr16	835103	835173
mrk_13127	chr16	843254	843562
mrk_13140	chr16	862568	862568
mrk_13154	chr16	874951	875063
mrk_13167	chr16	882639	882720
mrk_13180	chr16	884754	884771
mrk_13194	chr16	889317	889317
mrk_13207	chr16	896161	896335
mrk_13220	chr16	902912	903089
mrk_13234	chr16	914257	914584
mrk_13247	chr16	922432	922432
mrk_13260	chr16	928119	928130
mrk_13274	chr16	931402	931594
mrk_13287	chr16	934388	934624
mrk_13300	chr16	939647	939679
mrk_13314	chr16	944640	944667
